,cost,solution
1,96,1 2 9 10 13 16 17 18 19 20 21 22 23 24 25 26 35 36 38 39 40 41 43 45 46 
2,98,1 2 3 5 7 9 13 16 18 19 20 24 25 26 33 35 36 39 40 41 42 44 45 47 49 
3,94,1 2 5 7 9 10 13 16 19 22 24 25 26 30 33 34 35 36 37 39 40 41 44 48 
4,96,1 2 5 9 10 13 16 17 18 19 20 22 23 24 25 26 35 36 38 39 40 41 45 46 
5,92,1 2 7 11 12 15 19 20 21 22 25 27 28 30 31 33 34 35 36 37 39 43 44 46 47 48 50 
6,97,1 2 5 9 10 13 16 17 18 19 23 24 25 26 30 35 36 38 39 40 41 42 44 49 
7,95,1 2 3 5 7 9 10 13 16 18 19 22 24 25 26 30 33 35 36 39 40 41 44 48 49 50 
8,93,1 6 8 10 11 12 14 15 17 19 21 22 23 27 28 30 31 34 36 37 38 43 46 47 50 
9,94,1 2 5 7 9 10 13 16 17 18 19 20 22 23 24 25 26 27 35 36 39 40 41 42 44 45 48 
10,96,1 2 5 7 13 16 18 19 20 22 24 25 26 27 33 35 36 39 40 41 44 45 47 48 
11,94,1 4 5 6 7 8 11 12 14 15 17 27 28 29 30 31 33 34 39 42 44 47 48 49 50 
12,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 39 46 48 50 
13,97,1 2 7 9 13 16 18 19 20 22 24 25 26 33 35 36 39 40 41 44 45 47 49 
14,99,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 34 37 39 46 48 50 
15,95,1 3 4 5 6 8 10 11 12 14 15 21 22 28 30 31 33 34 37 38 39 41 46 48 50 
16,98,1 2 7 9 13 16 18 19 20 24 25 26 27 33 35 36 39 40 41 42 43 44 45 47 49 
17,97,1 2 5 8 9 10 13 16 17 18 19 23 24 25 26 36 38 39 40 41 42 44 45 49 
18,98,1 4 5 6 8 10 11 12 14 15 17 21 22 23 27 28 29 30 31 32 34 37 38 43 46 48 50 
19,94,1 3 4 5 6 8 10 11 12 14 15 16 21 22 29 31 33 34 37 38 39 45 46 48 50 
20,96,1 2 3 5 7 9 10 13 16 18 19 24 25 26 30 33 35 36 39 40 41 42 44 49 
21,97,1 4 5 6 8 10 11 12 14 15 17 23 27 28 29 30 31 32 34 37 38 42 43 46 48 50 
22,95,1 2 5 9 10 13 16 18 19 22 23 24 25 26 30 33 35 36 37 38 39 40 41 44 50 
23,97,1 2 9 13 16 17 18 19 20 23 24 25 26 35 36 38 39 40 41 42 44 45 49 
24,98,1 2 7 9 13 16 18 19 20 24 25 26 33 35 36 39 40 41 42 43 44 45 47 49 
25,94,1 2 3 7 9 10 13 16 18 19 20 22 24 25 26 30 33 35 36 39 40 41 43 44 48 
26,97,1 2 5 8 9 10 13 16 17 18 19 23 24 25 26 36 38 39 40 41 42 44 45 49 
27,91,1 2 6 8 9 11 12 13 16 17 19 20 21 22 23 27 31 36 37 38 43 45 46 47 50 
28,92,1 2 6 8 11 12 15 17 19 20 21 22 23 25 27 28 31 34 36 37 39 45 46 47 48 50 
29,95,1 2 3 7 13 16 19 20 22 24 25 26 33 34 35 36 37 39 40 41 42 43 44 45 47 48 
30,97,1 2 5 9 13 16 17 18 19 20 23 24 25 26 35 36 38 39 40 41 42 44 45 49 
31,97,1 4 6 8 10 11 12 14 15 17 21 22 23 27 28 29 31 34 37 38 43 45 46 48 50 
